objid              , ra              , dec                 , u       , g       , r       , i       , z       , class, redshift     , _q   , W1mag , W2mag , W3mag , W4mag, W1_W2        , u_g
1237646586640729369, 90.7308112575042, -0.0834989909164401 , 24.32948, 20.87986, 18.89431, 17.82784, 17.15079, STAR , 0.0003044767 , 189.0, 15.159, 14.983, 12.439, 8.972, 0.1760006    , 3.4496199999999995
1237646586640729558, 90.7288569997856, -0.085345873359427  , 24.06216, 21.69129, 19.77864, 18.62246, 17.89567, STAR , 4.361587e-05 , 190.0, 15.226, 15.265, 12.531, 8.934, -0.03900051  , 2.37087
1237646586640730087, 90.8370807320084, -0.0953974929587983 , 25.24142, 22.78975, 20.95894, 19.20055, 18.1641 , STAR , 0.000177077  , 191.0, 15.462, 15.456, 12.706, 9.121, 0.005999565  , 2.45167
1237646586640793768, 90.9505638488102, 0.0015949175602223  , 23.05948, 20.71149, 18.9749 , 17.53147, 16.68201, STAR , 0.0001020808 , 192.0, 15.335, 15.134, 12.477, 8.434, 0.20100021   , 2.3479899999999994
1237646586640795050, 90.8520165290574, -0.187467573925165  , 25.55459, 23.37161, 21.66445, 20.95411, 21.4214 , QSO  , 2.776133     , 193.0, 15.643, 15.906, 11.897, 8.851, -0.2630005   , 2.1829800000000006
1237646586640860774, 91.013449664432 , -0.0540831372241988 , 24.08905, 22.08575, 20.48107, 18.81621, 17.90591, STAR , 0.0002176898 , 194.0, 15.187, 15.369, 12.414, 8.528, -0.18200016  , 2.0032999999999994
1237646586640861093, 91.0922136668769, -0.0398781079964811 , 24.0933 , 22.32048, 20.25933, 19.16486, 18.42113, STAR , -0.000108649 , 195.0, 13.359, 13.269, 12.567, 9.072, 0.09000015   , 1.7728199999999994
1237646586640861210, 91.1237232693339, -0.0020691431171685 , 25.44877, 22.39964, 20.5708 , 19.02043, 18.09575, STAR , 0.0002129038 , 196.0, 14.262, 14.167, 12.36 , 8.774, 0.09500027   , 3.049129999999998
1237646586640861254, 91.1341869386328, -0.0288713723948736 , 24.21425, 22.3702 , 20.4594 , 19.00267, 18.08629, STAR , 0.0003414737 , 197.0, 14.666, 14.807, 12.335, 8.637, -0.1409998   , 1.8440499999999993
1237646586640925446, 91.1763947107195, -0.147220323753787  , 22.08274, 19.23049, 17.77599, 16.54222, 15.85358, STAR , 7.209068e-05 , 198.0, 15.842, 16.492, 12.454, 8.813, -0.6500006   , 2.8522500000000015
1237646586640991879, 91.3768369364168, -0.114479928723991  , 23.53896, 21.34597, 19.71373, 18.32697, 17.52112, STAR , 0.0001775973 , 199.0, 13.58 , 13.392, 12.508, 8.93 , 0.18799973   , 2.192989999999998
1237646586640991881, 91.3886659053327, -0.129367666497946  , 24.40632, 21.81195, 20.1514 , 18.48492, 17.50183, STAR , 9.40732e-05  , 200.0, 14.015, 13.856, 11.936, 8.631, 0.1590004    , 2.5943700000000014
1237646586641057517, 91.4805424143535, -0.159679594882612  , 24.28409, 21.27888, 19.62793, 17.92338, 16.97288, STAR , 9.242472e-05 ,   1.0, 14.604, 14.516, 12.621, 8.451, 0.0880003    , 3.005209999999998
1237646586641057933, 91.5174256237273, -0.143051665824209  , 24.80343, 22.24428, 20.55261, 19.01767, 18.17024, STAR , 0.0002359324 ,   2.0, 15.68 , 15.955, 12.613, 9.102, -0.27499962  , 2.559149999999999
1237646586641058136, 91.568125852329 , -0.15762073812447   , 24.28165, 22.30764, 20.53446, 19.26513, 18.46003, STAR , 0.0004755523 ,   3.0, 15.42 , 15.132, 12.555, 8.924, 0.2880001    , 1.9740099999999998
1237646587168817613, 70.7089565744657, 0.241781100411657   , 21.40989, 20.27692, 19.95501, 19.84249, 19.96082, STAR , 8.743176e-05 ,   4.0, 13.784, 13.676, 12.89 , 8.96 , 0.108000755  , 1.1329700000000003
1237646587168882921, 70.8336924868609, 0.399718814092318   , 20.82511, 19.79452, 19.41794, 19.29063, 19.22666, STAR , 8.26229e-05  ,   5.0, 15.581, 15.605, 12.32 , 8.97 , -0.023999214 , 1.0305900000000001
1237646587168882958, 70.8741385221537, 0.288804248527493   , 20.71977, 19.57442, 19.23711, 19.12593, 18.94402, STAR , 0.0001771508 ,   6.0, 14.882, 15.014, 12.647, 9.012, -0.13199997  , 1.1453500000000005
1237646587168882986, 70.8979881822871, 0.266073181620647   , 19.91814, 19.34697, 19.00297, 18.94257, 18.81439, QSO  , 0.8881408    ,   7.0, 15.2  , 15.217, 12.469, 8.94 , -0.017000198 , 0.5711700000000022
1237646587168948587, 71.0070628936429, 0.243838984677649   , 20.54132, 19.65941, 19.3566 , 19.26207, 19.25345, STAR , -0.0002938009,   8.0, 16.05 , 16.094, 12.709, 8.871, -0.044000626 , 0.8819099999999978
1237646587168948725, 71.0836075316139, 0.230187973078572   , 20.99263, 20.18212, 19.95127, 19.81647, 19.40645, QSO  , 2.355408     ,   9.0, 15.192, 14.961, 12.5  , 8.897, 0.23099995   , 0.8105099999999972
1237646587169014026, 71.1011375674692, 0.270702496679577   , 20.76426, 19.87192, 19.53278, 19.37906, 19.33131, STAR , 0.0007138068 ,  10.0, 15.772, 16.038, 11.904, 8.809, -0.2659998   , 0.8923400000000008
1237646587169014100, 71.1689518881171, 0.418636053850213   , 21.20198, 19.98453, 19.62071, 19.49168, 19.38861, STAR , -1.379347e-05,  11.0, 15.883, 15.997, 12.47 , 8.987, -0.11399937  , 1.2174499999999995
1237646587169079786, 71.3172853723499, 0.308881957577557   , 21.13512, 20.65192, 20.52991, 20.04685, 19.80658, QSO  , 0.6424714    ,  13.0, 14.259, 14.121, 12.726, 8.807, 0.13799953   , 0.4832000000000001
1237646587169145185, 71.4748897693908, 0.239943251502472   , 20.92638, 19.74606, 19.27636, 19.11626, 19.03327, STAR , -7.577154e-05,  14.0, 15.324, 15.274, 12.593, 9.112, 0.05000019   , 1.1803200000000018
1237646587169145224, 71.4954335699312, 0.365897078236886   , 21.02021, 20.01103, 19.56331, 19.55299, 19.50027, STAR , 0.0002730771 ,  15.0, 15.27 , 15.307, 12.256, 9.068, -0.036999702 , 1.009179999999997
1237646587169145436, 71.5414708810864, 0.352263623630254   , 21.48995, 20.30883, 20.04243, 19.95019, 19.90484, STAR , 0.0001773267 ,  16.0, 14.926, 14.894, 12.269, 8.939, 0.031999588  , 1.18112
1237646587169210744, 71.5872217648977, 0.238112194185853   , 19.62889, 18.54893, 18.1755 , 17.92355, 18.01194, STAR , 9.060538e-05 ,  17.0, 15.476, 15.701, 12.055, 8.766, -0.22500038  , 1.0799599999999998
1237646587169210779, 71.6013590115803, 0.250787546522797   , 21.04968, 19.98649, 19.69328, 19.56458, 19.51427, STAR , 7.885695e-05 ,  18.0, 15.218, 15.116, 12.144, 8.856, 0.10200024   , 1.0631899999999987
1237646587169210876, 71.6741465302236, 0.309286363942692   , 21.00297, 19.95025, 19.57295, 19.46065, 19.27699, STAR , 0.0001822219 ,  19.0, 14.814, 14.631, 12.37 , 9.011, 0.18300056   , 1.0527200000000008
1237646587169211028, 71.6192132844358, 0.252609418542461   , 21.18179, 20.16582, 19.93626, 19.84999, 19.88617, QSO  , 2.841104     ,  20.0, 15.259, 15.379, 12.355, 8.758, -0.119999886 , 1.0159699999999994
1237646587169211042, 71.642538049237 , 0.249988336291917   , 21.39199, 20.12678, 19.82511, 19.7134 , 19.70695, STAR , -6.004822e-05,  21.0, 15.803, 16.549, 12.471, 8.988, -0.74599934  , 1.2652099999999997
1237646587169211051, 71.6482834710411, 0.337618741189037   , 21.27055, 20.21636, 19.91088, 19.75027, 19.84174, STAR , -6.619537e-05,  22.0, 15.465, 15.488, 12.295, 9.125, -0.022999763 , 1.0541899999999984
