objid,ra,dec,u,g,r,i,z,class,redshift,W1mag,W2mag,W1_W2,u_g,parallax,pmra,pmde
1237651252058391059,257.301868172888,34.7758589170582,21.61397,18.79536,17.34209,16.31625,15.76236,STAR,4.648786e-05,13.475,13.359,0.11599999999999966,2.8186099999999996,3.4367,2.368,-7.702
1237651067886108880,163.691878104498,64.5327695694621,22.22749,19.44515,17.98749,16.81674,16.18373,STAR,-4.106289e-05,13.818,13.643,0.17499999999999893,2.782339999999998,2.9644,-0.995,3.412
1237651252025688103,138.692808051594,57.0048578707466,17.54097,16.54629,16.26087,16.14343,16.09804,STAR,6.841511e-06,14.931,15.081,-0.15000000000000036,0.9946800000000025,0.2829,-4.416,-15.869
1237651539252281485,203.670769147393,66.7425534035416,19.06301,18.04043,17.5572,17.34267,17.26282,STAR,-0.001420585,15.019,14.914,0.10500000000000043,1.0225799999999978,0.5218,-24.07,-26.345
1237651271905050684,209.80933342227,64.7897031376529,17.70442,16.45945,15.93833,15.69505,15.59155,STAR,-0.0009155915,14.051,14.068,-0.01699999999999946,1.2449699999999986,0.0646,-5.426,-4.531
1237651540334805344,239.930431355143,55.9327003826382,21.33257,20.48987,20.37759,20.21253,20.29803,STAR,-0.0004732742,17.497,17.721,-0.2240000000000002,0.8427000000000007,0.5223,2.611,1.599
1237651539251953795,201.50937713543,66.8552863199339,19.51822,18.50961,18.12851,17.98455,17.92653,STAR,-0.000131537,16.746,16.702,0.04399999999999693,1.008610000000001,0.3484,-22.134,-1.011
1237648721220599866,156.855971092873,-0.0932234318673239,16.79231,15.50062,14.92929,14.68886,14.54752,STAR,0.0008336598,12.98,13.05,-0.07000000000000028,1.291690000000001,0.0653,-5.069,-6.202
1237651754002612389,162.38993485348,2.41436626650316,19.98548,19.46451,19.21739,19.11139,19.10317,STAR,0.0002709827,16.357,15.777,0.5800000000000001,0.5209699999999984,3.1627,-18.508,-34.908
1237651191890117035,120.641009824772,43.7345865131873,20.37168,20.05534,19.96502,19.93901,19.76897,QSO,2.079648,16.834,15.896,0.9379999999999988,0.3163400000000003,0.9822,0.263,0.35
1237651701377990777,130.153676131977,53.5052444178915,20.11692,19.15118,18.72095,18.52409,18.4944,STAR,-0.0009457463,17.315,16.923,0.392000000000003,0.9657400000000003,1.3134,5.603,-7.209
1237649919501861142,13.2889112581329,14.6398695944984,20.04582,19.3423,18.51381,18.00772,17.70794,QSO,0.1819553,14.017,13.247,0.7699999999999996,0.7035199999999975,0.2269,1.108,0.729
1237648722291327001,149.965962993107,0.829486771806169,16.62093,15.47051,15.03033,14.86889,14.80043,STAR,7.914269e-05,13.5,13.537,-0.03700000000000081,1.1504200000000004,0.5445,-8.577,-13.221
1237651252026671536,141.978066115023,58.4227794125625,21.6971,21.12634,20.8764,20.47601,20.63367,QSO,1.632227,16.462,15.267,1.1950000000000003,0.5707599999999999,-1.2658,0.83,-0.542
1237651203157721124,198.61553536965,-0.606512857363936,18.38287,17.47519,17.24636,17.14971,17.16956,STAR,-0.0001093992,16.217,16.303,-0.08600000000000207,0.9076799999999992,0.1567,-0.513,-14.429
1237648720153542814,172.159673243294,-0.969479791137226,19.47781,19.33666,19.0041,18.89204,19.00081,QSO,1.36804,15.299,13.971,1.3279999999999994,0.14115000000000322,-0.1459,-0.126,0.02
1237651251490455764,144.683149225644,59.0430830395048,19.7035,19.40516,19.56866,19.28291,19.108,QSO,0.4857075,14.926,13.961,0.9649999999999999,0.2983399999999996,0.5714,0.094,0.066
1237649920036765813,8.57569247814382,15.1135402238171,19.21435,19.16535,18.83266,18.75287,18.87106,QSO,1.276208,15.571,14.116,1.455,0.04899999999999949,-0.1284,-0.127,-0.035
