objid              , ra              , dec                 , u       , g       , r       , i       , z       , class, redshift     , W1mag , W2mag , parallax, pmra   , pmde   , u_g                 , W1_W2
1237646587177272702, 90.0442077434627, 0.287711589437925   , 24.87071, 23.30195, 21.10583, 19.43914, 18.39508, STAR , 0.0002695465 , 15.335, 15.134, 1.8581  , -2.097 , -4.594 , 1.5687599999999975  , 0.20100021
1237646587177272879, 90.0908529305443, 0.382200545914621   , 23.06993, 22.09653, 20.35499, 18.99998, 18.17166, STAR , 0.0002842033 , 15.643, 15.906, 2.7768  , -10.018, 17.141 , 0.973399999999998   , -0.2630005
1237646587177337916, 90.1937474714006, 0.246502070139024   , 24.86483, 22.06518, 19.94356, 18.86621, 18.18262, STAR , 5.627847e-05 , 15.187, 15.369, 1.225   , 1.441  , -2.503 , 2.7996499999999997  , -0.18200016
1237646587177403191, 90.3661856418653, 0.34163997752847    , 22.05337, 19.49334, 17.78607, 16.63592, 15.92753, STAR , -7.187526e-05, 13.359, 13.269, 2.3742  , 5.884  , -22.21 , 2.560030000000001   , 0.09000015
1237646587177403518, 90.3688692366738, 0.239933872715049   , 24.75971, 21.03682, 19.01152, 17.95234, 17.26689, STAR , 3.721539e-05 , 14.262, 14.167, 1.4381  , -10.754, 1.545  , 3.7228899999999996  , 0.09500027
1237646587177403585, 90.296522347575 , 0.295511249839894   , 24.11724, 21.74979, 19.94949, 18.35822, 17.4409 , STAR , -9.0671e-06  , 14.666, 14.807, 2.4777  , -3.528 , 2.184  , 2.367449999999998   , -0.1409998
1237646587177404150, 90.3912426427584, 0.230016462025952   , 24.21691, 22.67458, 20.98811, 19.4298 , 18.51851, STAR , 0.0005220823 , 15.842, 16.492, 1.9562  , 31.371 , 12.341 , 1.5423299999999998  , -0.6500006
1237646587177468527, 90.4664478812313, 0.307407282842076   , 22.09238, 19.3418 , 17.83694, 16.56374, 15.87825, STAR , 0.0001121433 , 13.58 , 13.392, 5.1145  , 4.064  , 6.305  , 2.7505799999999994  , 0.18799973
1237646587177468925, 90.4145709157079, 0.365492588676446   , 22.78564, 20.4656 , 18.92746, 17.38219, 16.539  , STAR , 0.0001693464 , 14.015, 13.856, 4.8658  , 24.883 , -28.436, 2.3200400000000023  , 0.1590004
1237646587177469053, 90.5517126918515, 0.347016376711405   , 24.58948, 21.60428, 19.68156, 18.30542, 17.46545, STAR , 8.406945e-05 , 14.604, 14.516, 2.3494  , 1.364  , -5.363 , 2.985199999999999   , 0.0880003
